,name,neighbourhood,latitude,longitude,room_type
0,Private room c/ bathroom . Colonia Juarez.,Cuauhtémoc,19.43035,-99.15511,Private room
1,"Sunny suite w/ queen size bed, inside boutique B&B",Cuauhtémoc,19.44076,-99.16324,Private room
2,Couple of Rooms,Tlalpan,19.27215,-99.21848,Private room
3,Villa Dante,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt
4,CONDESA HAUS  B&B,Cuauhtémoc,19.41006,-99.17645,Private room
5,Entire beautiful duplex in la Roma,Cuauhtémoc,19.42292,-99.15775,Entire home/apt
6,Spacious Clean Quiet room (own bath) in la Condesa,Cuauhtémoc,19.412589999999998,-99.17959,Private room
7,"2 bedroom apt. deco bldg, Condesa",Cuauhtémoc,19.41375,-99.17028,Entire home/apt
8,Beautiful light Studio Coyoacan- full equipped !,Coyoacán,19.35601,-99.16167,Entire home/apt
9,Great studio Coyoacan!,Coyoacán,19.35466,-99.16304000000001,Entire home/apt
10,Villa Dante,Cuajimalpa de Morelos,19.36585,-99.27911,Private room
11,Up to -30% in last-minute stays & Summer Special,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt
12,Dreamy suite w/ king size bed in boutique B&B,Cuauhtémoc,19.44268,-99.16371,Private room
13,NEW  DESIGNER LOFT,Miguel Hidalgo,19.4313,-99.19438000000001,Entire home/apt
14,MARIA DEL ALMA,Coyoacán,19.35266,-99.16338,Private room
15,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,Miguel Hidalgo,19.40675,-99.18798000000001,Entire home/apt
16,Cool room near WTC and Metrobus,Benito Juárez,19.39549,-99.17616,Private room
17,"Casa Comtesse B&B, Gallery Hotel, 8 rooms",Cuauhtémoc,19.40631,-99.17303000000001,Private room
18,"Huge Luxurious Suite 70's style, perfectly located",Cuauhtémoc,19.42428,-99.16843,Entire home/apt
19,Two bedroom apartment in Condesa,Cuauhtémoc,19.41033,-99.17647,Entire home/apt
20,Spacious one bedroom apt in Condesa,Cuauhtémoc,19.41086,-99.17704,Entire home/apt
21,One bedroom apartment in Condesa -1,Cuauhtémoc,19.41113,-99.17761999999999,Entire home/apt
22,Smack in the Middle of La Condesa,Cuauhtémoc,19.41395,-99.17948,Entire home/apt
23,"Condesa-Roma, great place to stay!",Miguel Hidalgo,19.40409,-99.17730999999999,Entire home/apt
24,LOFT Condesa,Cuauhtémoc,19.40621,-99.17286999999999,Entire home/apt
25,"Condesa, one of the best zones.",Cuauhtémoc,19.40454,-99.1715,Entire home/apt
26,TRENDY APARTMENT IN ZONA ROSA / JUAREZ DISTRICT,Cuauhtémoc,19.4251,-99.17067,Entire home/apt
27,HIP APARTMENT ONE BLOCK REFORMA,Cuauhtémoc,19.42373,-99.1714,Entire home/apt
28,"Independent studio, top location",Cuauhtémoc,19.43417,-99.13744,Private room
29,"""Chavela"" Private & Furnished Room",Cuauhtémoc,19.41328,-99.15513,Private room
30,Tours in Mexico city,Azcapotzalco,19.49886,-99.19171999999999,Private room
31,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt
32,Charming 1BR flat in Roma/Condesa,Cuauhtémoc,19.41835,-99.17363,Entire home/apt
33,Great location in Mexico City!,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt
34,High End Condo with golf package,Iztacalco,19.382579999999997,-99.12736,Entire home/apt
35,COOL PENT HOUSE APARTMENT @CONDESA,Cuauhtémoc,19.41125,-99.17634,Entire home/apt
36,SUPER DEAL MONTHLY STAYS / COMFORT / FAST WIFI!,Cuauhtémoc,19.4128,-99.16386999999999,Private room
37,Furnished lovely cozy studio,Cuauhtémoc,19.412470000000003,-99.17485,Entire home/apt
38,A nice room with great location,Benito Juárez,19.36294,-99.15415,Private room
39,"The ""home"" feeling in Mexico City!",Cuauhtémoc,19.43327,-99.14527,Entire home/apt
40,Comfy in the Middle of La Condesa,Cuauhtémoc,19.4157,-99.17747,Entire home/apt
41,2Room new apartment in modern complex,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt
42,"Confortable private room, downtown Mexico City.",Cuauhtémoc,19.43453,-99.14675,Private room
43,WONDERFUL ROOM IN COYOACAN HOUSE,Coyoacán,19.34004,-99.18273,Private room
44,Room in contemporary chic apartment-LA ROMA,Cuauhtémoc,19.41297,-99.15735,Private room
45,"Tlalpan, Zona de Hospitales",Tlalpan,19.28581,-99.16064,Private room
46,2 rooms in shared area.,Tlalpan,19.28712,-99.16213,Private room
47,Stay at a meditation center,Cuauhtémoc,19.41007,-99.13434000000001,Private room
48,Habitación Verde.,Tlalpan,19.274279999999997,-99.1781,Private room
49,"CONDESA COZY, COMFORTABLE APARTMENT",Cuauhtémoc,19.419420000000002,-99.17373,Entire home/apt
50,"modern,styled appt!",Benito Juárez,19.37923,-99.18833000000001,Entire home/apt
51,habitación con baño Mexico city ,Venustiano Carranza,19.4346,-99.10929,Private room
52,Great Place to stay,Coyoacán,19.35179,-99.14956,Private room
53,beautiful furnished room Rome area,Cuauhtémoc,19.40421,-99.16553,Private room
54,Recámara luminosa y jardín,Miguel Hidalgo,19.40215,-99.24135,Private room
55,Big and cozy bedroom in DF.,Miguel Hidalgo,19.40276,-99.18536,Private room
56,Modern 2 Bedroom Apt. Near Reforma,Cuauhtémoc,19.429470000000002,-99.17083000000001,Entire home/apt
57,Condesa Roma WTC Studio Parking,Cuauhtémoc,19.40179,-99.17009,Entire home/apt
58,DISTRITO CONDESA B&B  relax enjoy,Cuauhtémoc,19.40746,-99.17482,Private room
59,SALUDOS MI NOMBRE ES FERNANDO,Azcapotzalco,19.458029999999997,-99.17289,Private room
60,Cute Sofa Bed in South Mexico City,Benito Juárez,19.36905,-99.18303,Shared room
61,"Room in colonial, green, enjoyable COYOACAN",Coyoacán,19.34303,-99.15425,Private room
62,"Perfect room lovely house, Roma",Cuauhtémoc,19.40586,-99.15857,Private room
63,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",Cuauhtémoc,19.42499,-99.17479,Private room
64,One bedroom apartment in Condesa -2,Cuauhtémoc,19.40974,-99.17811,Entire home/apt
65,wonderfully located apartment,Miguel Hidalgo,19.438579999999998,-99.21285999999999,Entire home/apt
66,Incredible apartment in Condesa,Cuauhtémoc,19.41489,-99.169,Entire home/apt
67,Wonderful stay in la Condesa Mexico,Cuauhtémoc,19.4058,-99.1756,Private room
68,Comfy clean Roøm @Cozy apartment,Cuauhtémoc,19.41238,-99.17721999999999,Private room
69,Your Mexican home,Benito Juárez,19.40314,-99.15164,Private room
70,"Nice Studio, 50 mts of terrace.",Benito Juárez,19.38942,-99.1358,Private room
71,Comfy Room 10 mins UAM-Iztapalapa,Iztapalapa,19.35654,-99.0803,Private room
72,Be free on Mexico City. all Combo!!,Cuauhtémoc,19.461370000000002,-99.16074,Private room
73,Explore the City's Historic Center,Cuauhtémoc,19.42577,-99.13721,Private room
74,"Condesa, ideal location apartment",Cuauhtémoc,19.40618,-99.17342,Entire home/apt
