,Postcode,State,Municipality,City,Settlement
0,9830,Ciudad de México,Iztapalapa,Ciudad de México,Lomas El Manto
1,9830,Ciudad de México,Iztapalapa,Ciudad de México,Los Ángeles
2,9830,Ciudad de México,Iztapalapa,Ciudad de México,Paraje San Juan
3,9837,Ciudad de México,Iztapalapa,Ciudad de México,San Miguel 8va. Ampliación
4,9838,Ciudad de México,Iztapalapa,Ciudad de México,Plan de Iguala
5,9839,Ciudad de México,Iztapalapa,Ciudad de México,Ampliación Paraje San Juan
6,9839,Ciudad de México,Iztapalapa,Ciudad de México,San Juan Joya
7,9840,Ciudad de México,Iztapalapa,Ciudad de México,Los Reyes Culhuacán
8,9849,Ciudad de México,Iztapalapa,Ciudad de México,Ampliación Los Reyes
9,9850,Ciudad de México,Iztapalapa,Ciudad de México,San Juan Xalpa
10,9850,Ciudad de México,Iztapalapa,Ciudad de México,San Nicolás Tolentino
11,9850,Ciudad de México,Iztapalapa,Ciudad de México,Santa María del Monte
12,9856,Ciudad de México,Iztapalapa,Ciudad de México,Estado de Veracruz
13,9856,Ciudad de México,Iztapalapa,Ciudad de México,Ampliación Veracruzana
14,9858,Ciudad de México,Iztapalapa,Ciudad de México,Paraje San Juan Cerro
15,9859,Ciudad de México,Iztapalapa,Ciudad de México,Benito Juárez
16,9860,Ciudad de México,Iztapalapa,Ciudad de México,Bellavista
17,9860,Ciudad de México,Iztapalapa,Ciudad de México,Ampliación Bellavista
18,9860,Ciudad de México,Iztapalapa,Ciudad de México,Casa Blanca
19,9860,Ciudad de México,Iztapalapa,Ciudad de México,Cerro de La Estrella
20,9860,Ciudad de México,Iztapalapa,Ciudad de México,Parque Nacional Cerro de la Estrella
21,9860,Ciudad de México,Iztapalapa,Ciudad de México,El Rodeo
22,9868,Ciudad de México,Iztapalapa,Ciudad de México,San Juan Estrella
23,9870,Ciudad de México,Iztapalapa,Ciudad de México,12 de Diciembre
