,store_name,street_address,state_name,country_name,postcode,longitude,latitude,id
9184,STIM,"de la Industria Militar 1296,, Lomas de Chamizal, Cuajimalpa",DIF,MX,5129,-99.26,19.39,0
9185,EMERSON,"Homero n.503, Col. Chapultepec Morales, Del. Miguel Hidalgo",DIF,MX,11570,-99.19,19.44,1
9186,Narvarte,"Palanque s/n, Col. Narvarte",DIF,MX,1030,-99.15,19.4,2
9187,Pasaje San Jeronimo,AV SAN JERONIMO 819 COL SAN JERONIMO,DIF,MX,10200,-99.23,19.32,3
9188,RENATO LEDUC,RENATO LEDUC 224 COL TORIELLO GUERRA,DIF,MX,14050,-99.16,19.3,4
9189,Melchor Ocampo,"Melchor Ocampo n.453 Col. Anzures, Del. Miguel Hidalgo",DIF,MX,11590,-99.18,19.42,5
9190,Forum Buenavista,"Norte Mosqueta 259, Esq. Insurgentes N, Delegacion Cuauhtemoc",DIF,MX,6350,-99.13,19.49,6
9191,Pabellon Cuemanco,"Canaverales #222, Col. Granjas Coapa, Del. Tlalpan",DIF,MX,14330,-99.11,19.29,7
9192,Via Vallejo,"Calzada Vallejo numero 1090, Colonia Industrial Vallejo",DIF,MX,2300,-99.15,19.49,8
9193,Torre Virreyes,"Pedregal #24, Colonia Molino del Rey",DIF,MX,,-99.2,19.33,9
9194,Madero II,"Av. Madero esquina Bolivar, Bolivar Centro Historico Cd Mex",DIF,MX,,-99.14,19.44,10
9195,Picacho,"Carretera Picacho Ajusco n.557, Col. Lomas de Padierna",DIF,MX,14240,-99.21,19.28,11
9196,Monte Pelvoux,"Monte Pelvoux No.210, Lomas Chapultepec",DIF,MX,11000,-99.2,19.43,12
9197,Calzada de Tlalpan,"Calzada de Tlalpan 564, Col Tlalpan Nativitas",DIF,MX,3500,-99.15,19.34,13
9198,SPA,"Rio Lerma n. 303, Col. Cuauhtemoc, Del. Cuauhtemoc",DIF,MX,6500,-99.18,19.43,14
9199,Miyana,"Moliere esquina Cervantes Saavedra, Moliere esq C. Saavedra Col Granada",DIF,MX,11510,-99.2,19.44,15
9200,Hospital Angeles Interlomas,"Vialidad de la Barranca No. 22, Col. Valle de las Palmas",DIF,MX,52763,-99.28,19.39,16
9201,Torre Polanco,"Mariano Escobedo No.476, Anzures",DIF,MX,11590,-99.18,19.43,17
9202,Oasis II - PA,"Avenida Universidad numero 1778, Col. Romero de Terreros, Del. Coyoacan",DIF,MX,4310,-99.18,19.35,18
9203,Patio Claveria,"Egipto #142 Col. Claveria, Delegacion Azcapotzalco",DIF,MX,2080,-99.18,19.46,19
9204,Antara II,"Av. Ejercito Nacional 843, Local H 103, Col. Granada Delegación Miguel Hidalgo",DIF,MX,,-99.2,19.44,20
9205,Bosque de Aragon,Av 510 n.340 Pueblo Sn Juan de Aragon,DIF,MX,7950,-99.08,19.47,21
9206,Plaza Rio San Joaquin,"Calzada Legaria N 549, Col. Diez de Abril",DIF,MX,11250,-99.21,19.45,22
9207,BBVA,Lago Alberto No. 320 Colonia Anahuac,DIF,MX,11320,-99.18,19.44,23
9208,Obrero Mundial,"Obrero Mundial 296 Narvarte, Benito Juarez",DIF,MX,3810,-99.16,19.4,24
9209,Roma Sur,"Monterrey n.330, Col., Roma Sur District",DIF,MX,6760,-99.16,19.41,25
9210,Punto Polanco,"Lago Alberto esquina Mariano Escobedo, Mariano Escobedo",DIF,MX,,-99.02,19.3,26
9211,SPA,"Av. Félix Cuevas n.274, Col. Del Valle",DIF,MX,3100,-99.17,19.37,27
9212,Corporativo BBVA Bancomer Reforma,"Av Paseo de la Reforma 510, Colonia Juarez",DIF,MX,6600,-99.17,19.42,28
9213,SPA,"Manzanas n. 40 Col Del Valle, Del. Benito Juarez",DIF,MX,3200,-99.18,19.37,29
9214,Tlalpan Hospitales,Tlalpan 4731 Col. Toriello Guerra,DIF,MX,14050,-99.16,19.29,30
9215,AICM T1 S21 and 22,Aeropuerto Intenacional de la Cd. Mex,DIF,MX,,-97.88,22.3,31
9216,PARQUE DELTA III,"Av. Cuauhtemoc 462, Col. Narvarte, Del. Benito Juarez",DIF,MX,3020,-99.16,19.4,32
